geopoint,Daylight_savings_time_flag,Timezone,Longitude,Latitude,State,City,Zip
"34.045161,-118.1865",1,-8,-118.1865,34.045161,CA,Los Angeles,90063
"34.03457,-118.42843",1,-8,-118.42843,34.03457,CA,Los Angeles,90064
"34.107559,-118.22663",1,-8,-118.22663,34.107559,CA,Los Angeles,90065
"34.002011,-118.43083",1,-8,-118.43083,34.002011,CA,Los Angeles,90066
"34.056709,-118.41183",1,-8,-118.41183,34.056709,CA,Los Angeles,90067
"34.122058,-118.3379",1,-8,-118.3379,34.122058,CA,Los Angeles,90068
"34.090975,-118.3813",1,-8,-118.3813,34.090975,CA,West Hollywood,90069
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90070
"34.052709,-118.2559",1,-8,-118.2559,34.052709,CA,Los Angeles,90071
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90072
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90073
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90074
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90075
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90076
"34.101007,-118.45077",1,-8,-118.45077,34.101007,CA,Los Angeles,90077
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90078
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90079
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90080
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90081
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90082
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90083
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90084
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90086
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90087
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90088
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90089
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90091
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90093
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90094
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90095
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90096
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90097
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90099
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90101
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90102
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90103
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90174
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Los Angeles,90185
"33.972814,-118.17385",1,-8,-118.17385,33.972814,CA,Bell,90201
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Bell Gardens,90202
"33.944714,-118.356908",1,-8,-118.356908,33.944714,CA,Inglewood,90204
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Beverly Hills,90209
"34.088808,-118.40612",1,-8,-118.40612,34.088808,CA,Beverly Hills,90210
"34.066009,-118.38271",1,-8,-118.38271,34.066009,CA,Beverly Hills,90211
"34.060859,-118.40191",1,-8,-118.40191,34.060859,CA,Beverly Hills,90212
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Beverly Hills,90213
"33.890566,-118.23666",1,-8,-118.23666,33.890566,CA,Compton,90220
"33.893265,-118.204",1,-8,-118.204,33.893265,CA,Compton,90221
"33.910716,-118.23624",1,-8,-118.23624,33.910716,CA,Compton,90222
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Compton,90223
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Compton,90224
"33.997179,-118.40145",1,-8,-118.40145,33.997179,CA,Culver City,90230
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Culver City,90231
"34.021611,-118.39168",1,-8,-118.39168,34.021611,CA,Culver City,90232
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Culver City,90233
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Downey,90239
"33.958363,-118.11987",1,-8,-118.11987,33.958363,CA,Downey,90240
"33.942289,-118.12901",1,-8,-118.12901,33.942289,CA,Downey,90241
"33.92018,-118.14291",1,-8,-118.14291,33.92018,CA,Downey,90242
"33.921313,-118.40843",1,-8,-118.40843,33.921313,CA,El Segundo,90245
"33.891265,-118.2975",1,-8,-118.2975,33.891265,CA,Gardena,90247
"33.870466,-118.28813",1,-8,-118.28813,33.870466,CA,Gardena,90248
"33.899265,-118.319",1,-8,-118.319,33.899265,CA,Gardena,90249
"33.914614,-118.35092",1,-8,-118.35092,33.914614,CA,Hawthorne,90250
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Hawthorne,90251
"33.866314,-118.39968",1,-8,-118.39968,33.866314,CA,Hermosa Beach,90254
"33.978404,-118.21773",1,-8,-118.21773,33.978404,CA,Huntington Park,90255
"33.888364,-118.35355",1,-8,-118.35355,33.888364,CA,Lawndale,90260
"33.895363,-118.37689",1,-8,-118.37689,33.895363,CA,Lawndale,90261
"33.924642,-118.20186",1,-8,-118.20186,33.924642,CA,Lynwood,90262
"34.035087,-118.70752",1,-8,-118.70752,34.035087,CA,Malibu,90263
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Malibu,90264
"34.051056,-118.80768",1,-8,-118.80768,34.051056,CA,Malibu,90265
"33.88898,-118.40535",1,-8,-118.40535,33.888980000000004,CA,Manhattan Beach,90266
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Manhattan Beach,90267
"33.988813,-118.18642",1,-8,-118.18642,33.988813,CA,Maywood,90270
"34.050505,-118.53374",1,-8,-118.53374,34.050505,CA,Pacific Palisades,90272
"33.784099,-118.38752",1,-8,-118.38752,33.784099,CA,Palos Verdes Peninsula,90274
"33.758216,-118.36425",1,-8,-118.36425,33.758216,CA,Rancho Palos Verdes,90275
"33.845064,-118.395107",1,-8,-118.395107,33.845064,CA,Redondo Beach,90276
"33.828815,-118.38322",1,-8,-118.38322,33.828815,CA,Redondo Beach,90277
"33.871214,-118.37177",1,-8,-118.37177,33.871214,CA,Redondo Beach,90278
"33.944264,-118.1949",1,-8,-118.1949,33.944264,CA,South Gate,90280
"34.101447,-118.59933",1,-8,-118.59933,34.101447,CA,Topanga,90290
"33.992411,-118.46531",1,-8,-118.46531,33.992411,CA,Venice,90291
"33.976373,-118.45458",1,-8,-118.45458,33.976373,CA,Marina Del Rey,90292
"33.957012,-118.44167",1,-8,-118.44167,33.957012,CA,Playa Del Rey,90293
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Venice,90294
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Marina Del Rey,90295
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Playa Del Rey,90296
"33.955913,-118.35868",1,-8,-118.35868,33.955913,CA,Inglewood,90301
"33.975263,-118.35558",1,-8,-118.35558,33.975263,CA,Inglewood,90302
"33.934164,-118.33255",1,-8,-118.33255,33.934164,CA,Inglewood,90303
"33.936163,-118.36076",1,-8,-118.36076,33.936163,CA,Inglewood,90304
"33.960263,-118.3252",1,-8,-118.3252,33.960263,CA,Inglewood,90305
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Inglewood,90306
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Inglewood,90307
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Inglewood,90308
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Inglewood,90309
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Inglewood,90310
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Inglewood,90311
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Inglewood,90312
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Inglewood,90313
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Inglewood,90397
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Inglewood,90398
"34.01491,-118.4922",1,-8,-118.4922,34.01491,CA,Santa Monica,90401
"34.036759,-118.50121",1,-8,-118.50121,34.036759,CA,Santa Monica,90402
"34.032159,-118.49022",1,-8,-118.49022,34.032159,CA,Santa Monica,90403
"34.026959,-118.47432",1,-8,-118.47432,34.026959,CA,Santa Monica,90404
"34.009276,-118.47286",1,-8,-118.47286,34.009276,CA,Santa Monica,90405
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Santa Monica,90406
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Santa Monica,90407
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Santa Monica,90408
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Santa Monica,90409
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Santa Monica,90410
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Santa Monica,90411
"34.010328,-118.494107",1,-8,-118.494107,34.010328,CA,Santa Monica,90421
"33.828766,-118.31367",1,-8,-118.31367,33.828766,CA,Torrance,90501
"33.833416,-118.29198",1,-8,-118.29198,33.833416,CA,Torrance,90502
"33.840264,-118.35587",1,-8,-118.35587,33.840264,CA,Torrance,90503
"33.870414,-118.33065",1,-8,-118.33065,33.870414,CA,Torrance,90504
"33.810848,-118.35096",1,-8,-118.35096,33.810848,CA,Torrance,90505
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Torrance,90506
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Torrance,90507
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Torrance,90508
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Torrance,90509
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Torrance,90510
"34.002333,-118.03562",1,-8,-118.03562,34.002333,CA,Whittier,90601
"33.967562,-118.03384",1,-8,-118.03384,33.967562,CA,Whittier,90602
"33.941363,-117.99477",1,-8,-117.99477,33.941363,CA,Whittier,90603
"33.929163,-118.009",1,-8,-118.009,33.929163,CA,Whittier,90604
"33.945413,-118.03362",1,-8,-118.03362,33.945413,CA,Whittier,90605
"33.978312,-118.06778",1,-8,-118.06778,33.978312,CA,Whittier,90606
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Whittier,90607
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Whittier,90608
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Whittier,90609
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Whittier,90610
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Whittier,90612
"33.841014,-118.00969",1,-8,-118.00969,33.841014,CA,Buena Park,90620
"33.875714,-117.99404",1,-8,-117.99404,33.875714,CA,Buena Park,90621
"33.640302,-117.769442",1,-8,-117.769442,33.640302,CA,Buena Park,90622
"33.849327,-118.04395",1,-8,-118.04395,33.849327,CA,La Palma,90623
"33.640302,-117.769442",1,-8,-117.769442,33.640302,CA,Buena Park,90624
"33.817481,-118.0399",1,-8,-118.0399,33.817481,CA,Cypress,90630
"33.934513,-117.95159",1,-8,-117.95159,33.934513,CA,La Habra,90631
"33.640302,-117.769442",1,-8,-117.769442,33.640302,CA,La Habra,90632
"33.640302,-117.769442",1,-8,-117.769442,33.640302,CA,La Habra,90633
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,La Mirada,90637
"33.90213,-118.00966",1,-8,-118.00966,33.90213,CA,La Mirada,90638
"33.905813,-118.018247",1,-8,-118.018247,33.905813,CA,La Mirada,90639
"34.014212,-118.11358",1,-8,-118.11358,34.014212,CA,Montebello,90640
"33.906914,-118.08339",1,-8,-118.08339,33.906914,CA,Norwalk,90650
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Norwalk,90651
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Norwalk,90652
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Norwalk,90659
"33.989013,-118.08912",1,-8,-118.08912,33.989013,CA,Pico Rivera,90660
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pico Rivera,90661
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pico Rivera,90662
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pico Rivera,90665
"33.933551,-118.06821",1,-8,-118.06821,33.933551,CA,Santa Fe Springs,90670
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Santa Fe Springs,90671
"33.803565,-117.99596",1,-8,-117.99596,33.803565,CA,Stanton,90680
"33.867215,-118.08062",1,-8,-118.08062,33.867215,CA,Artesia,90701
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Artesia,90702
"33.868314,-118.06754",1,-8,-118.06754,33.868314,CA,Cerritos,90703
"33.368642,-118.40835",1,-8,-118.40835,33.368642,CA,Avalon,90704
"33.888165,-118.1276",1,-8,-118.1276,33.888165,CA,Bellflower,90706
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Bellflower,90707
"33.797317,-118.30065",1,-8,-118.30065,33.797317,CA,Harbor City,90710
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Lakewood,90711
"33.851965,-118.1468",1,-8,-118.1468,33.851965,CA,Lakewood,90712
"33.847265,-118.11337",1,-8,-118.11337,33.847265,CA,Lakewood,90713
"33.851215,-118.1339",1,-8,-118.1339,33.851215,CA,Lakewood,90714
"33.840965,-118.07775",1,-8,-118.07775,33.840965,CA,Lakewood,90715
"33.828565,-118.07364",1,-8,-118.07364,33.828565,CA,Hawaiian Gardens,90716
"33.793384,-118.31611",1,-8,-118.31611,33.793384,CA,Lomita,90717
"33.794028,-118.07218",1,-8,-118.07218,33.794028,CA,Los Alamitos,90720
"33.640302,-117.769442",1,-8,-117.769442,33.640302,CA,Los Alamitos,90721
"33.899915,-118.16231",1,-8,-118.16231,33.899915,CA,Paramount,90723
"33.732368,-118.28905",1,-8,-118.28905,33.732368,CA,San Pedro,90731
"33.736718,-118.31123",1,-8,-118.31123,33.736718,CA,San Pedro,90732
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,San Pedro,90733
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,San Pedro,90734
"33.759283,-118.08239",1,-8,-118.08239,33.759282999999996,CA,Seal Beach,90740
"33.718167,-118.07179",1,-8,-118.07179,33.718167,CA,Sunset Beach,90742
"33.72975,-118.0863",1,-8,-118.0863,33.72975,CA,Surfside,90743
"33.784018,-118.25897",1,-8,-118.25897,33.784018,CA,Wilmington,90744
"33.823765,-118.2668",1,-8,-118.2668,33.823765,CA,Carson,90745
"33.857416,-118.25633",1,-8,-118.25633,33.857416,CA,Carson,90746
"33.867138,-118.253825",1,-8,-118.253825,33.867138,CA,Carson,90747
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Wilmington,90748
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Carson,90749
"33.801783,-118.168691",1,-8,-118.168691,33.801783,CA,Long Beach,90755
"33.783038,-118.238683",1,-8,-118.238683,33.783038,CA,Los Angeles,90774
"33.804309,-118.200957",1,-8,-118.200957,33.804309,CA,Long Beach,90801
"33.769018,-118.19225",1,-8,-118.19225,33.769018,CA,Long Beach,90802
"33.761117,-118.12986",1,-8,-118.12986,33.761117,CA,Long Beach,90803
"33.783467,-118.15182",1,-8,-118.15182,33.783467,CA,Long Beach,90804
"33.865916,-118.18362",1,-8,-118.18362,33.865916,CA,Long Beach,90805
"33.801767,-118.1858",1,-8,-118.1858,33.801767,CA,Long Beach,90806
"33.828366,-118.18235",1,-8,-118.18235,33.828366,CA,Long Beach,90807
"33.823316,-118.11329",1,-8,-118.11329,33.823316,CA,Long Beach,90808
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Long Beach,90809
"33.816217,-118.21495",1,-8,-118.21495,33.816217,CA,Long Beach,90810
"33.781011,-118.19197",1,-8,-118.19197,33.781011,CA,Long Beach,90813
"33.771167,-118.14482",1,-8,-118.14482,33.771167,CA,Long Beach,90814
"33.795049,-118.11824",1,-8,-118.11824,33.795049,CA,Long Beach,90815
"33.776094,-118.11848",1,-8,-118.11848,33.776094,CA,Long Beach,90822
"33.767817,-118.199401",1,-8,-118.199401,33.767817,CA,Long Beach,90831
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Long Beach,90832
"33.767817,-118.199401",1,-8,-118.199401,33.767817,CA,Long Beach,90833
"33.767817,-118.199401",1,-8,-118.199401,33.767817,CA,Long Beach,90834
"33.767817,-118.199401",1,-8,-118.199401,33.767817,CA,Long Beach,90835
"33.784266,-118.115698",1,-8,-118.115698,33.784266,CA,Long Beach,90840
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Long Beach,90842
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Long Beach,90844
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Long Beach,90845
"33.824918,-118.150352",1,-8,-118.150352,33.824918,CA,Long Beach,90846
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Long Beach,90847
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Long Beach,90848
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Long Beach,90853
"33.769667,-118.313405",1,-8,-118.313405,33.769667,CA,Rancho Palos Verdes,90879
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Long Beach,90888
"34.192102,-118.14206",1,-8,-118.14206,34.192102,CA,Altadena,91001
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Altadena,91003
"34.134057,-118.02662",1,-8,-118.02662,34.134057,CA,Arcadia,91006
"34.126957,-118.05216",1,-8,-118.05216,34.126957,CA,Arcadia,91007
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Duarte,91009
"34.137707,-117.96569",1,-8,-117.96569,34.137707,CA,Duarte,91010
"34.211171,-118.19776",1,-8,-118.19776,34.211171,CA,La Canada Flintridge,91011
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,La Canada Flintridge,91012
"34.140806,-118.00184",1,-8,-118.00184,34.140806,CA,Monrovia,91016
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Monrovia,91017
"34.211494,-118.23104",1,-8,-118.23104,34.211494,CA,Montrose,91020
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Montrose,91021
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Mount Wilson,91023
"34.164806,-118.0509",1,-8,-118.0509,34.164806,CA,Sierra Madre,91024
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Sierra Madre,91025
"34.112958,-118.15577",1,-8,-118.15577,34.112958,CA,South Pasadena,91030
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,South Pasadena,91031
"34.261221,-118.31887",1,-8,-118.31887,34.261221,CA,Sunland,91040
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Sunland,91041
"34.256952,-118.28453",1,-8,-118.28453,34.256952,CA,Tujunga,91042
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Tujunga,91043
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Verdugo City,91046
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91050
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91051
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Arcadia,91066
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Arcadia,91077
"34.146607,-118.1391",1,-8,-118.1391,34.146607,CA,Pasadena,91101
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91102
"34.166706,-118.159",1,-8,-118.159,34.166706,CA,Pasadena,91103
"34.169356,-118.12392",1,-8,-118.12392,34.169356,CA,Pasadena,91104
"34.137857,-118.16329",1,-8,-118.16329,34.137857,CA,Pasadena,91105
"34.142557,-118.12715",1,-8,-118.12715,34.142557,CA,Pasadena,91106
"34.151066,-118.08974",1,-8,-118.08974,34.151066,CA,Pasadena,91107
"34.122658,-118.11296",1,-8,-118.11296,34.122658,CA,San Marino,91108
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91109
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91110
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91114
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91115
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91116
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91117
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,San Marino,91118
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91121
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91123
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91124
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91125
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91126
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91129
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91131
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91175
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91182
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91184
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91185
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91186
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91187
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91188
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91189
"33.786594,-118.298662",1,-8,-118.298662,33.786594,CA,Pasadena,91191
"34.17013,-118.29158",1,-8,-118.29158,34.17013,CA,Glendale,91201
"34.166567,-118.26994",1,-8,-118.26994,34.166567,CA,Glendale,91202
